Umtrieb;intrigue
schätzen;apprécier
Rinde;écorce
Appartement;appartement
dürfen;pouvoir
Geck;poseur
betrauen;charger
mauern;maçonner
abstrakt;abstrait
Päonie;pivoine
Hupe;corne
Samen;sperme
Säule;colonne
Eber;sanglier
machen;rendre
Scheune;kiosque
kochen;cuisiner
dermaßen;également
schräg;oblique
Fetzen;chiffon
Feierlichkeit;cérémonie
Reiher;héron
bergen;abriter
Ferien;congé
Rad;roue
Zement;ciment
Gemahl;mari
Marmor;marbre
Rolle;rouleau
Kamel;chameau
Diplom;diplôme
Fühler;antenne
fröhlich;gai
Schädel;crâne
annehmen;agréer
Zange;pinces
geläufig;lisse
einlegen;confire
Agonie;agonie
Schale;met
Faust;poing
verkünden;annoncer
dennoch;pourtant
ersaufen;noyer
Katastrophe;catastrophe
These;thèse
Pinsel;pinceau
fallen;tomber
Dom;cathédrale
korsisch;corse
brühen;échauder
Bemühung;peine
vermögend;riche
Papst;pape
Zins;pourcentage
Photograph;photographe
Korridor;corridoir
verzücken;enchanter
Westen;ouest
deshalb;c'est pourquoi
Branntwein;eau-de-vie
Biene;abeille
sich erbieten;faire offrande
flugs;vite
suchen;chercher
Gefallen;complaisance
entwenden;voler
Edelstein;bijou
Libelle;libellule
wenigstens;au moins
schwatzen;bavarder
nach und nach;peu à peu
aufziehen;éduquer
bedienen;servir
bestellen;accomplir
engros;en gros
Schnecke;escargot
aufheben;élever
einleuchten;expliquer
Geschick;sort
begründen;prouver
verleihen;emprunter
Kadenz;cadence
disponieren;disposer de
Dichtkunst;poésie
doch;bien
Sorge tragen;s'occuper
Klumpen;boule
das;quelle
melken;traire
zurecht;convenablement
krüppelhaft;infirme
hurtig;rapide
unser;nous
schrapen;effacer en grattant
unruhig;agité
Kloster;couvent
Heu;foin
Pyramide;pyramide
Tornister;sac tyrolien
zusammenziehend;astringent
verzögern;retarder
drücken;appuyer en écrasant
Slang;argot
Schleier;voile
schmeichelig tun;agir en hypocrite
zur Welt bringen;mettre au monde
ebenso;tellement
bevorstehend;proche
Schaf;mouton
hinter einander;de suite
portugiesisch;portugais
wahnsinnig;fou
Salbei;sauge
Bein;pied
Kugel;globe
Sitte;coutume
trübe;trouble
am liebsten;plutôt
froh;content
Wohnung;domicile
hinter;derrière
Mohrrübe;carotte
probieren;essayer
mustern;inspecter
wohl;probablement
Möwe;mouette
